# This file contains objective function values from parameter estimation. Extended metabolic model, parameter estimation upper bounds of 1e4 and constraints on all internal metabbolites with lower bound of 0 mM and upper bounds of 1e2, 1e3 and 1e4.
value,model,ph,vc
72.6245,extended_very_high_constraints_1e4,6.5,True
15459.7,extended_very_high_constraints_1e4,6.5,True
136.643,extended_very_high_constraints_1e4,6.5,True
60.1792,extended_very_high_constraints_1e4,6.0,False
12.6161,extended_very_high_constraints_1e4,6.0,False
11.0278,extended_very_high_constraints_1e4,6.0,False
8.8837,extended_very_high_constraints_1e4,6.0,False
14.0411,extended_very_high_constraints_1e4,6.0,False
11.1594,extended_very_high_constraints_1e4,6.0,False
9.41828,extended_very_high_constraints_1e4,6.0,False
15.7061,extended_very_high_constraints_1e4,6.0,False
29.429,extended_very_high_constraints_1e4,6.0,False
16.8096,extended_very_high_constraints_1e4,6.0,False
13.7172,extended_very_high_constraints_1e4,6.0,False
8458.14,extended_very_high_constraints_1e4,6.0,False
21.1865,extended_very_high_constraints_1e4,6.0,False
13.155,extended_very_high_constraints_1e4,6.0,False
8448.79,extended_very_high_constraints_1e4,6.0,False
17.3212,extended_very_high_constraints_1e4,6.0,False
8478.52,extended_very_high_constraints_1e4,6.0,False
8445.63,extended_very_high_constraints_1e4,6.0,False
8473.55,extended_very_high_constraints_1e4,6.0,False
19.149,extended_very_high_constraints_1e4,6.0,False
13.709,extended_very_high_constraints_1e4,6.0,False
8498.57,extended_very_high_constraints_1e4,6.0,False
21.1336,extended_very_high_constraints_1e4,6.0,False
104.378,extended_very_high_constraints_1e4,6.0,False
128.918,extended_very_high_constraints_1e4,6.0,False
8513.61,extended_very_high_constraints_1e4,6.0,False
8434.4,extended_very_high_constraints_1e4,6.0,False
26.9617,extended_very_high_constraints_1e4,6.0,False
8574.25,extended_very_high_constraints_1e4,6.0,False
18.113,extended_very_high_constraints_1e4,6.0,False
7394.23,extended_very_high_constraints_1e4,6.0,True
11.1714,extended_very_high_constraints_1e4,6.0,True
7409.51,extended_very_high_constraints_1e4,6.0,True
16.2845,extended_very_high_constraints_1e4,6.0,True
15.422,extended_very_high_constraints_1e4,6.0,True
19.8895,extended_very_high_constraints_1e4,6.0,True
7468.52,extended_very_high_constraints_1e4,6.0,True
7487.97,extended_very_high_constraints_1e4,6.0,True
20.0158,extended_very_high_constraints_1e4,6.0,True
5075.31,extended_very_high_constraints_1e4,6.0,True
26.5707,extended_very_high_constraints_1e4,6.0,True
18.5528,extended_very_high_constraints_1e4,6.0,True
21.357,extended_very_high_constraints_1e4,6.0,True
15.868,extended_very_high_constraints_1e4,6.0,True
13.7794,extended_very_high_constraints_1e4,6.0,True
16.0506,extended_very_high_constraints_1e4,6.0,True
7409.68,extended_very_high_constraints_1e4,6.0,True
18.1226,extended_very_high_constraints_1e4,6.0,True
12.1495,extended_very_high_constraints_1e4,6.0,True
17.3923,extended_very_high_constraints_1e4,6.0,True
19.6509,extended_very_high_constraints_1e4,6.0,True
24.525,extended_very_high_constraints_1e4,6.0,True
7554.8,extended_very_high_constraints_1e4,6.0,True
20.9587,extended_very_high_constraints_1e4,6.0,True
7522.11,extended_very_high_constraints_1e4,6.0,True
29.093,extended_very_high_constraints_1e4,6.0,True
18.8446,extended_very_high_constraints_1e4,6.0,True
10.385,extended_very_high_constraints_1e4,6.0,True
20.0726,extended_very_high_constraints_1e4,6.0,True
7444.6,extended_very_high_constraints_1e4,6.0,True
